"id","vocabulary_text","vocabulary_sound","kanji_text","kanji_meaning","vocabulary_meaning","highlighted","lesson_id"
"0","わたし","watashi.mp3","","","tôi","","1"
"1","わたしたち","watashitachi.mp3","","","chúng tôi, chúng ta","","1"
"2","あなた","anata.mp3","","","anh/ chị/ ông/ bà,","","1"
"3","あのひと","anohito.mp3","あの人","NHÂN","người kia, người đó","","1"
"4","あのかた","anokata.mp3","あの方","PHƯƠNG","vị kia","","1"
"5","みなさん","minasan.mp3","皆さん","GIAI","các anh chị, các ông bà, các bạn, quý vị","","1"
"6","～さん","san.mp3","","","anh, chị, ông, bà","","1"
"7","～ちゃん","chan.mp3","","","(hậu tố thêm vào sau tên của trẻ em thay cho 「～さん」)","","1"
"8","～くん","kun.mp3","～君","QUÂN","(hậu tố thêm vào sau tên của em trai)","","1"
"9","～じん","jin.mp3","～人","NHÂN","người (nước)~”; ví dụ  「アメリカじん」: người Mỹ)","","1"
"10","せんせい","sensei.mp3","先生","TIÊN SINH","thầy/ cô","","1"
"11","きょうし","kyoushi.mp3","教師","GIÁO SƯ","giáo viên","","1"
"12","がくせい","gakusei.mp3","学生","HỌC SINH","học sinh, sinh viên","","1"
"13","かいしゃいん","kaishain.mp3","会社員","HỘI XÃ VIÊN","nhân viên công ty","","1"
"14","しゃいん","syain.mp3","社員","XÃ VIÊN","nhân viên công ty ~","","1"
"15","ぎんこういん","ginkouin.mp3","銀行員","NGÂN HÀNH VIÊN","nhân viên ngân hàng","","1"
"16","いしゃ","isya.mp3","医者","Y GIẢ","bác sĩ","","1"
"17","けんきゅうしゃ","kenkyuusya.mp3","研究者","NGHIÊN CỨU GIẢ","nhà nghiên cứu","","1"
"18","エンジニア","enjinia.mp3","","","kỹ sư","","1"
"19","だいがく","daigaku.mp3","大学","ĐẠI HỌC","đại học, trường đại học","","1"
"20","びょういん","byouin.mp3","病院","BỆNH VIỆN","bệnh viện","","1"
"21","でんき","denki.mp3","電気","ĐIỆN KHÍ","điện, đèn điện","","1"
"22","だれ（どなた）","dare.mp3","","","ai (「どなた」là cách nói lịch sự của「だれ」, vị nào)","","1"
"23","―さい","sai.mp3","－歳","NHẤT TUẾ","―tuổi","","1"
"24","なんさい","nansai.mp3","何歳","HÀ TUẾ","mấy tuổi, bao nhiêu tuổi","","1"
"25","はい","hai.mp3","","","vâng, dạ","","1"
"26","いいえ","iie.mp3","","","không","","1"
"27","しつれいですが","shitsureidesuga.wav","失礼ですが","THẤT LỄ","xin lỗi,…","","1"
"28","おなまえは？","onamaewa.wav","お名前は？","DANH TIỀN","Tên anh/chị là gì?","","1"
"29","はじめまして。","hajimemashite.wav","初めまして。","SƠ","Rất hân hạnh được gặp anh/chị","","1"
"30","どうぞよろしく[おねがいします]。","dozoyoroshikuonegaishimasu.wav","","","Rất mong được sự giúp đỡ của anh/chị.","","1"
"31","こちらは～さんです。","kochirawa.wav","","","Đây là anh/chị/ông/bà ~.","","1"
"32","～からきました。","karakimashita.wav","～から来ました。","LAI","(tôi) đến từ ~.","","1"
"33","アメリカ","amerika.wav","","","Nước Mỹ","","1"
"34","イギリス","igirisu.wav","","","Nước Anh","","1"
"35","インド","indo.wav","","","Ấn Độ","","1"
"36","インドネシア","indoneshia.wav","","","Indonesia","","1"
"37","かんこく","kankoku.wav","韓国","HÀN QUỐC","Hàn Quốc","","1"
"38","タイ","tai.wav","","","Thái Lan","","1"
"39","ちゅうごく","chuugoku.wav","中国","TRUNG QUỐC","Trung Quốc","","1"
"40","ドイツ","doitsu.wav","","","Nước Đức","","1"
"41","にほん","nihon.wav","日本","NHẬT BẢN","Nhật Bản","","1"
"42","フランス","furansu.wav","","","Pháp","","1"
"43","ブラジル","burajiru.wav","","","Braxin","","1"
"44","さくらだいがく","sakuradaigaku.wav","さくら大学","ĐẠI HỌC","Đại học Sakura(giả tưởng)","","1"
"45","ふじだいがく","fujidaigaku.wav","富士大学","PHÚ SĨ ĐẠI HỌC","Đại học Phú Sĩ(giả tưởng)","","1"
"46","ＩＭＣ ／ パワーでんき ／ブラジルエアー","imc.wav","","","tên các công ty (giả tưởng)","","1"
"47","ＡＫＣ","akc.wav","","","tên một tổ chức (giả tưởng)","","1"
"48","こうべびょういん","koubebyouin.wav","神戸病院","THẦN HỘ  BỆNH VIỆN","tên một bệnh viện (giả tưởng)","","1"
"49","これ","kore.mp3","","","cái này, đây (vật ở gần người nói)","","2"
"50","それ","sore.mp3","","","cái đó, đó (vật ở gần người nghe)","","2"
"51","あれ","are.mp3","","","cái kia, kia (vật ở xa cả người nói và người nghe)","","2"
"52","この～","kono.mp3","","","~ này","","2"
"53","その～","sono.mp3","","","~ đó","","2"
"54","あの～","ano.mp3","","","~ kia","","2"
"55","ほん","hon.mp3","本","BẢN/BỔN","sách","","2"
"56","じしょ","jisyo.mp3","辞書","TỪ THƯ","từ điển","","2"
"57","ざっし","zasshi.wav","雑誌","TẠP CHÍ","tạp chí","","2"
"58","しんぶん","shinbun.mp3","新聞","TÂN VĂN","báo","","2"
"59","ノート","k-nooto.mp3","","","vở","","2"
"60","てちょう","techoo.mp3","手帳","THỦ TRƯƠNG","sổ tay","","2"
"61","めいし","meishi.mp3","名刺","DANH THÍCH","danh thiếp","","2"
"62","カード","k-kaado.mp3","","","thẻ, cạc","","2"
"63","テレホンカード","k-terehonkaado.mp3","","","thẻ điện thoại","","2"
"64","えんぴつ","enpitsu.mp3","鉛筆","DUYÊN BÚT","bút chì","","2"
"65","ボールペン","borupen.wav","","","bút bi","","2"
"66","シャープペンシル","k-shaapupenshiru.mp3","","","bút chì kim, bút chì bấm","","2"
